* ------------------------------------------------------------------------------
 
* Results from the TOXSWA model  (c) Wageningen University & Research
* FOCUS  TOXSWA version   : 5.5.3
* TOXSWA model version    : 3.3.6
* TOXSWA created on       : 17-Dec-2017
 
* Working directory       : C:\SwashProjects\Project_1\TOXSWA
* Run ID                  : 3
* Input file generated on : 04-07-2023
* ------------------------------------------------------------------------------
 
  Depths of sediment nodes for output in Z-direction:    0.500000E-02   0.450000E-01   0.850000E-01
  Distances of water layer nodes for output in X-direction:                  0.250000E+01   0.750000E+01   0.125000E+02   0.175000E+02   0.225000E+02   0.275000E+02   0.325000E+02   0.375000E+02   0.425000E+02   0.475000E+02   0.525000E+02   0.575000E+02   0.625000E+02   0.675000E+02   0.725000E+02   0.775000E+02   0.825000E+02   0.875000E+02   0.925000E+02   0.975000E+02
  Distances of water layer segment interfaces for output in X-direction:     0.000000E+00   0.500000E+01   0.100000E+02   0.150000E+02   0.200000E+02   0.250000E+02   0.300000E+02   0.350000E+02   0.400000E+02   0.450000E+02   0.500000E+02   0.550000E+02   0.600000E+02   0.650000E+02   0.700000E+02   0.750000E+02   0.800000E+02   0.850000E+02   0.900000E+02   0.950000E+02   0.100000E+03
* Option PrintCumulatives was set to false
* Option OptCalcStabilitySediment was set to true
* Option OptCalcStabilityWater was set to true
* Unit for ConLiqWatLay is (g.m-3)(values at segment nodes)
    0.000  01-Oct-1978-00h00 ConLiqWatLay_EXSW2    0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
    0.000  01-Oct-1978-00h00 XProfile_EXSW2   0.250000E+01  0.411200E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 XProfile_EXSW2   0.750000E+01  0.411200E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 XProfile_EXSW2   0.125000E+02  0.411200E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 XProfile_EXSW2   0.175000E+02  0.411200E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 XProfile_EXSW2   0.225000E+02  0.411200E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 XProfile_EXSW2   0.275000E+02  0.411200E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 XProfile_EXSW2   0.325000E+02  0.411200E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 XProfile_EXSW2   0.375000E+02  0.411200E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 XProfile_EXSW2   0.425000E+02  0.411200E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 XProfile_EXSW2   0.475000E+02  0.411200E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 XProfile_EXSW2   0.525000E+02  0.411200E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 XProfile_EXSW2   0.575000E+02  0.411200E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 XProfile_EXSW2   0.625000E+02  0.411200E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 XProfile_EXSW2   0.675000E+02  0.411200E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 XProfile_EXSW2   0.725000E+02  0.411200E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 XProfile_EXSW2   0.775000E+02  0.411200E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 XProfile_EXSW2   0.825000E+02  0.411200E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 XProfile_EXSW2   0.875000E+02  0.411200E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 XProfile_EXSW2   0.925000E+02  0.411200E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 XProfile_EXSW2   0.975000E+02  0.411200E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2   1  -0.500000E-03  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2   1  -0.150000E-02  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2   1  -0.250000E-02  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2   1  -0.350000E-02  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2   1  -0.500000E-02  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2   1  -0.700000E-02  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2   1  -0.900000E-02  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2   1  -0.125000E-01  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2   1  -0.175000E-01  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2   1  -0.250000E-01  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2   1  -0.350000E-01  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2   1  -0.450000E-01  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2   1  -0.600000E-01  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2   1  -0.850000E-01  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2   2  -0.500000E-03  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2   2  -0.150000E-02  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2   2  -0.250000E-02  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2   2  -0.350000E-02  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2   2  -0.500000E-02  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2   2  -0.700000E-02  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2   2  -0.900000E-02  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2   2  -0.125000E-01  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2   2  -0.175000E-01  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2   2  -0.250000E-01  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2   2  -0.350000E-01  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2   2  -0.450000E-01  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2   2  -0.600000E-01  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2   2  -0.850000E-01  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2   3  -0.500000E-03  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2   3  -0.150000E-02  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2   3  -0.250000E-02  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2   3  -0.350000E-02  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2   3  -0.500000E-02  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2   3  -0.700000E-02  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2   3  -0.900000E-02  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2   3  -0.125000E-01  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2   3  -0.175000E-01  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2   3  -0.250000E-01  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2   3  -0.350000E-01  0.600000E+00  0.000000E+00  0.000000E+00
